"No DESIGNATION","COMMENTAIRE DE SIG","CODE RELEVE","COMMENTAIRE","BLOC NOTE","COMMLITIGEPIDI"
"297457327","","","","",""
"299005545","","DMS","/DMS/#PTO_non existante#/Anas ok passage de la fibre en souterrain ok ont ok /DAE OK/","","\"
"297780496","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cheminement#-/Apcp ok plp pb0384 tube rouge fibre bleu pm00007 porte droite t te2 l02 J851237/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"299557933","","DMS","/DMS/#PTO_non existante#/Installation complete Immeuble ok/DAE OK/","","\"
"299208654","","","","",""
"299208655","","","","",""
"299883448","","ORT","IE086kL code decharge pas de continuite entre le.pb et la pmz vu avec orange","","\\"
"296614818","","","","",""
"299764610","","DMS","/DMS/#PTO_non existante#/Raccordement ok passage de cable en fa  ade mutation code decharge T te 3 c01 Decharge 659455 test delc ok /DAE OK/","","\"
"297528860","","DMS","/DMS/#PTO_non existante#/Tout ok chez client passage de c cble en souterrain 70m passe le client a la prise optique o il le souhaite /DAE OK/","","\"
"297055354","","DMS","/DMS/#PTO_non existante#/Raccordement pavillon ok. Passage du c cble en aero-soutterain 60m de c cble. PTO install e dans le salon a la demande du client. Valeur PTO-19 valeur PTO-19. Test delec ok ras /DAE OK/","","\\/GEM/#LITIGE: MC-Besoin nacelle#/Besoin  nacelle vu avec le client pour un nouveau rdv  28 /04 /2023/DAE NA/Non eligible au DAE\"
"299160432","","","","",""
"297584250","","DMS","/DMS/#PTO_non existante#/DAE OK/ passage en facade a la demande du client car maison en travaux test delc ok cim ok.merci de considerer ce dossier en facade voir photos en pieces jointes.","","\\$GM$ Le tech a repris rdv avec le client pour le 11/05 a partir de 08H  $APAF$  /GEM/#LITIGE: CP-Travaux sur conduite privative#/TVC rdv repris jeudi 11/05  a 8h /DAE NA/Non eligible au DAE\"
"296850170","","DMS","/DMS/#PTO_non existante#/Passage de c cble aerien Au choix du client pose pto salon brassage pm test /DAE OK/","ATTENTION CONTACT CLIENT 0686448789","\"
"298073770","","DMS","/DMS/#PTO_non existante#/Tirage de c cble 100m pose pt tout est ok /DAE OK/","","\"
"297311824","","DMS","/DMS/#PTO_non existante#/100m de c cble souterrain Pto dans salon Delc ok/DAE OK/","","\\$GM$ suite appel service Orange le 05/05 a 08h30 client veut modifier son rdv au 11/05 en marge apres-midi a aprtir de 14h30 car dispo avant \"
"296940432","","DMS","/DMS/#PTO_non existante#/Pose jrt au PM. Pose 100m 1fo. Pto ok ont ok /DAE OK/","","\"
"296949885","","","","",""
"298098757","","DMS","/DMS/#PTO_non existante#/Chemin de c cble plus pose PTO vue avec client adduction aerienne /DAE OK/","","\"
"299343013","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Raccordement plp test DelC ok photo preaxedo ok pmz vandalis avant mon arriv e sur le terrain /DAE OK/","","\"
"297524906","","TVC","/GEM//Le client doit soit trouve sa gaine et son arriv e ou faire pos une nouvelle gaine /DAE NA/Non ligible au DAE","","\\$GM$ TH Obtenu Client le 11/04 repris RDV le 14/04  a 10h / $APSM$*/GEM/#LITIGE: MC-Besoin nacelle#/Aerien il faut un equipe en nacelle /DAE NA/Non eligible au DAE\/GEM/#LITIGE: CP-Travaux sur conduite privative#/Le client doit soit trouve sa gaine et son arriv  e ou faire pos   une nouvelle gaine /DAE NA/Non   ligible au DAE\\"
"223449592","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/DAE OK/ Raccordement pm tout est ok","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"299558339","","TVC","client souhait annule son dossier  car les travaux est impossible a realise chez lui  il va renvoye la box a orange","","\\$GM$ CP Laisse mevo le 27/04  pour reprendre nouveau RDV des TVC fini  $APSM$   chec de production arrive telephonique DTI dans le vide sanitaire qui est inaccessible\\"
"299006876","","DMS","/DMS/#PTO_non existante#/Raccordement soutirain ok Pm ok Pbo ok Ro ok/DAE OK/","","\"
"297249727","","TVC","Fourreau boucher le client va voir pour deboucher la gaine","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ clte obtenue le 26/04 pour reprise de rdv le 29/04 a partir de 08h car elle sera en deplacement le mois 5 \$GM$ CPrdv pris par ccoi le 03/05a partir de 08h $apaf$ \\"
"299708338","","DMS","/DMS/#PTO_non existante#/Installation complete en souterrain Passage de c cble en souterrain Pto a l c etage vu avec la cliente /DAE OK/","","\"
"296941543","","","","",""
"298370064","","DMS","/DMS/#PTO_non existante#/Passer la jartierre au pm Poser 170m 1fo avec pto /DAE OK/","","\"
"296941549","","ANN","/ANN-CLI/les clients ne souhaite pas etre raccorder a la fibre et a annuler 4 fois son rdv","","\\"
"299160308","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/Tous les fonctions chez le client test OK PB 000134 tube bleu fibre rouge numero de charge J814224/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"229009864","","ORT","$GM$GC#DOSTECH# /ORT//Tampon de chambre a d bloquer ou remplacer au 14 rue saint Yves/DAE NA/Non ligible au DAE","","\\$GM$ lo Laisse MEVO au  0682909369 le 11/04 14h50 pour reprise de RDV $APMJ$\$GM$ Obtenu M. desert au 0682909369 le 11/04 a 15h54   repris RDV le 18/04 entre 10h   14h / $APTE$\$DOSTECH$ Impasse de de ouvrir de la chambre et aussi faut demander de arret de circulation \$GM$GC#DOSTECH# /ORT/#LITIGE: GC-Necessit   de r  paration du GC#/Tampon de chambre a d  bloquer ou remplacer au 14 rue saint Yves/DAE NA/Non   ligible au DAE\$GM$$GM$GC#DOSTECH# /ORT/#LITIGE: GC-Necessit   de r  paration du GC#/Tampon de chambre a d  bloquer ou remplacer au 14 rue saint Yves/DAE NA/Non   ligible au DAE\\"
"296618002","","","","",""
"299160564","","ANN","/ANN-CLI//ANN//Le client il annule sachant que le prioritaire qui vaut pas la elle m a dit la cliente quoi elle va dem nager bient t/DAE NA/Non ligible au DAE","","\\"
"296611638","","DMS","/DMS/#PTO_non existante#/numero de d charge j759373 passage c cble en immeuble pos prise pto brassage pm test ok /DAE OK/","","\"
"297705892","","","","",""
"297705896","","","","",""
"223304913","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Pb 6663 tube rouge tiret 1 fibre vert RDC FI-1489-0746 Decharge J794506 plp immeubles delc ok branchement de la jarretiere au pm installation conforme appartement cliente RDC /DAE OK/","","\"
"223449461","","DMS","/DMS/#PTO_non existante#/Intervention OK passage de c cble 30 m appartement la prise de le salon a la demande des clients. Pour la PM la position de client a sors dans t te 3 C04..../DAE OK/","","\"
"223468763","","ETU","CAC=Oui#GPS=#DN=Olfa/ETU//DAE NA/Non eligible au DAE Mauvais pb attribue le bon pb est le 906 tube rouge fibre violette","","\\"
"298098760","","","","",""
"296418231","","DMS","/DMS/#PTO_non existante#/Pose jrt pm +installation kit 50m exterieur /DAE OK/","","\"
"299193069","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Tous les fonctions chez les clients test OK/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"297132312","","DMS","/DMS/#PTO_non existante#/Farid ok  100m  Aerosouterrain  PTO posee dans le salon a la demande de client val pm-18 val pto-20  CQE OK /DAE OK/","","\"
"298253909","","","","",""
"298254001","","","","",""
"299007838","","","","",""
"297706620","","","","",""
"298741287","","DMS","/DMS/#PTO_non existante#/Racc aerien ok 4 poteaux Tout est ok Pto salon /DAE OK/","","\"
"299007844","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon Ok/DAE OK/","","\"
"297262271","","","","",""
"299210551","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Reprise PTO FI 1288-4621 Pb 4592 tube bleu fibre rouge Porte droite slot 4 B07 Porte gauche slot 1 F07 D charge J733551 Passage de jarretiere a la pm delc ok /DAE OK/","","\"
"298192834","","RMC","Hors delais. Le client contacte son opt. $APSP$ /GEM//client injoignable /DAE NA/Non eligible au DAE","","\\$GM$ TH Laisse MEVO au 06 le  14/04  a 10h10 pour reprendre nouveau RDV / $APAF$ Besoin nacelle pour poser des traverse      Non client ne sait pas disponible quand   \$GM$ TH rdv pris par ccoi le 27/04 a 09h $apaf$  APAF$ Besoin nacelle pour poser des traverse      Non client ne sait pas disponible quand   \$GM$ RV Rdv repris pour le mercredi 3  8h12h\$GM$ RV Un rdv a ete repris par le technicien pour le 08/05 a 08h00 $APAF$ \"
"223513207","","DMS","Raccordement en souterraine ok Pto installee selon le souhait du client ok Delc ok A653824","","\\$GM$ CP SMS  le 07/04  pour reprendre nouveau RDV des TVC fini  $APSM$ Le client passer une nouvelle gene de nouveau garage vers pto  \$GM$ Obtenu Mme Gavard au 0786621018  le 27/04 a 15h45   repris RDV le 27/04 entre 14h   18h / $APTE$\$GM$ Obtenu clt le 28/04 au  0786621018  anticipe rdv au 29/04 a partir de 10h $APIL$\"
"297086748","","ORT","/ORT//Apcp ok. ?tude a realiser pour cr ation nouveau gc. /DAE NA/Non ligible au DAE","","\\"
"297084211","","DMS","/DMS/#PTO_non existante#/Raccordement client ok pose PTO ok route obtique ok tictage ok delc ok mutation PB 997263 tube rouge fibre bleue numero decharge A664595 photo en PJ /DAE OK/","","\\$GM$ LO Laisse MEVO le 27/04 pour reprendre nouveau RDV / $APSM$\$GM$ suite rappel client ce jour le 27/04 a 13h17 prise de rdv le 29/04 en marge matin a paritr de 10h \/GEM/#LITIGE: CP-Travaux sur conduite privative#/Le client vas voir avec son electricien pour  la nettoyage du gaine ou passer un gain entre le garage et son tableau   lectrique /DAE NA/Non   ligible au DAE\"
"298747994","","","","",""
"299160122","","DMS","/DMS/#PTO_non existante#/Passage de c cble en souterrain fa ade pto pose dans le salon /DAE OK/","","\"
"223513312","","DMS","/DMS/#PTO_non existante#/Installation conforme passage de c cbles en souterrain tout est fonctionnel chez le client /DAE OK/","","\\$GM$ CP /GEM/#LITIGE: CP-Travaux sur conduite privative#-#LITIGE: CP-Travaux sur conduite privative#-/Travaux cliens le cliens dois sois debouche  la gaine qui vient de salon est va au garage  o   pos   une gaine du salon au garage o   ya l'arriv  e ADSL  DTI gaine boucher  car ya 2 c cble qui passe dans la m  me gaine\\$GM$ RV Laisse mevo le 05/05 a 10h12 sur le  0621682377  pour confirmer RDV au 06/05 a partir de 14h  selon reponse SMS $APSP$ \$GM$  obtenu  client ce jour le 05/05 a 10h25 prise de rdv le 09/05 en amrge matin a paritr de 10h \"
"297526489","","DMS","Installation airien complexe pto pose dans Salon tout fonctionne chez le client","","\\$GM$ TH Un rdv a ete repris par le technicien pour le 19/04 a partir de 10H $APAB$  /GEM/#LITIGE: MC-Besoin nacelle#/Besoin nacelle vu avec le client pour  un nouveau rdv repris pour mercredi  919/04 /DAE NA/Non eligible au DAE\/GEM/#LITIGE: LP-Localisation Point de Blocage#/Ya un bloquage engre le repqrd et l'affjver a l'interfeur ... il faut chercber le point de bloquage .../DAE NA/Non eligible au DAE\$GM$ Obtenu clt le 05/05 au  0633382026 repris rdv le 08/05 a partir de 10h $APIL$\"
"223511498","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Prassage effectu de nouveau pmz Delc ok/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"223300034","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Intervention OK branchement de jarretiere au niveau de PM OK/DAE OK/","","\\$GM$ LO  Laisse MEVO au 0669771598 le  02/05 a 16H39 pour reprendre nouveau RDV / $APAF$ \$GM$ Obtenu clt le 02/05 au 0669771598 repris rdv le 05/05 a partir de 14h $APIL$\"
"223448720","","","","",""
"296148203","","DMS","/DMS/#PTO_non existante#/$XXXXXX@XXX.XX$ 1 pavillon aerien 1 fo 100m /DAE OK/","","\\$GM$ TH / rdv pris par ccoi le 08/05 a partir de 9h $apaF$ /GEM/#LITIGE: MC-Besoin binome ou materiel#/Meches de 1m perforateur est cass   chez le client pr  c  dent/DAE NA/Non   ligible au DAE\"
"223448724","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp immeuble. Installation conforme. Delc ok. Passage de la jarretiere au PMI./DAE OK/","","\"
"223513870","","DMS","Raccordement en facade ok Pto installee selon le souhait du client ok Delc ok","","\"
"296879394","","DMS","/DMS/#PTO_non existante#/100m de cable en aerien./DAE OK/","","\"
"296255504","","DMS","/DMS/#PTO_non existante#/Raccordement a realiser au PM Panneau op rateur MEC/L07 Panneau de brassage client PT 999998/Porte Droite/Tete#02/E05 Num ro de d charge A664460 Pavillon a rien 200m 1fo pmz ok Pose de pto /DAE OK/","","\\Besoin nacelle le c cble passe en  aerien\$gm$obtenu cliente sur son tel le 04/05 rdv repris le 11/05 10h/14h\"
"296617290","","DMS","/DMS/#PTO_non existante#/Pto installer dans salon avec signal conforme /DAE OK/","","\"
"296141819","","DMS","/DMS/#PTO_non existante#/Pavillon souterrain pose pto ont test OK installation conforme /DAE OK/","","\"
"299200757","","DMS","/DMS/#PTO_non existante#/Ont ok pto ok test ok 70m fa ade /DAE OK/","","\"
"297240676","","TVC","Suite a plusieurs relances aucun retour de la part du clt  laisse mevo le 02/05 clt doit recontacter son operateur $APAN$ $GM$ LO Laisse MEVO le 29/04 pour reprendre nouveau RDV / $APSM$ merci de contacter le client pour reprendre un nouveau RDV.","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ CP /GEM/#LITIGE: DD-Deplacer l'arriv ?  e int ?  rieure#-#LITIGE: CP-Travaux sur conduite privative#-#LITIGE: CP-Travaux sur conduite privative#-/Installation complete a refaire  Client va faire le n ?  cessaire pour d ?  bloquer la gaine derri ?  re le placo /DAE NA/Non  ?  ligible au DAE\$GM$ client contacte tvc fini rdv repris pour le 15/04 a partir de 10h00 AM\$GM$client pas dispo le 15/04 rdv reporte au 21/04  AM\$GM$ NECESSAIRE FAIT \\"
"298074837","","","","",""
"297783323","","","","",""
"299187670","","DMS","/DMS/#PTO_non existante#/Fa ade 50m Delc ok /DAE OK/","","\"
"223446806","","ORT","Pas de passage entre la trappe de passage et le pb J ai appele pour decaler echec il me demande de garde en main et demande a constructel de faire nissisre Cade de charge et Ik094jo","","\\$GM$. Besoin de materiel \\"
"298745878","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/Mise en service /DAE OK/","","\"
"296419135","","","","",""
"296224335","","DMS","/DMS/#PTO_non existante#/Mutattion de fibre sur pb 999750 tub rouge fibre rouge n*A663049 .Pose jrtor a la PM 80m c cble fibre optique Pose pto delc ok /DAE OK/","","\"
"298074852","","DMS","/DMS/#PTO_non existante#/Pose jrt au pmz  passage de c cble aerien  pose pto  tout ok /DAE OK/","","\"
"297897209","","ANN","/ANN-CLI//GEM//La cliente a annule le rendez-vous  elle a envoy ? un mail a ORANGE. Ils ne veulent plus de la fibre optique. Personne ? cg ? e /DAE NA/Non ? ligible au DAE Client absent au rendez-vous et a deja annule le rendez-vous en amont","","\\$GM$  INTERVENTION EN COURS \$GM$ RDV REPRIS AVEC MR LE 21/04 ENTRE 10H30 ET 13H \Client contacter  laisser message pour rendez vous le 28 avril a partir de 14h.\\"
"296416061","","DMS","/DMS/#PTO_non existante#/AFC adil souterrain 50m 1 pto soudure pb Pm etiquette brady ok/DAE OK/ Probleme Praxedo donc Gaspard ko","","\"
"296940226","","DMS","/DMS/#PTO_non existante#/Passage c cble en aereaux souterrain pose prise pto brassage pm test ok /DAE OK/","","\"
"299147095","","DMS","passage de cable en facade sur 60m - pto pose dans salon a la demande du client -","","\"
"298252696","","ANN","/ANN-CLI/client annule l offre le 10/05 a 17h25 $APTE$","","\$GM$ Lo\\ laisse mevo  le 09/05  pour propose rdv le 13/05 $APEP$\\"
"223633681","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PLP OK acquittement client ok ok pour DMS teste OK CRIOC ok puissance PLP1 ok/DAE OK/","","\"
"297662899","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PLP OK BOX OK RAS #Aligne porte droite T te 4 C01/DAE OK/","","\"
"223443501","","DMS","/DMS/#PTO_non existante#/Pto dans le placard Tout est ok Enqu te de satisfaction /DAE OK/","","\\$GM$ LO Un rdv a ete repris par le technicien pour le 28/04 a partir de 13H  $APAB$  /GEM/#Litige: RF - Rendez-vous non honore Orange#/Rdv repris vue avec le client. Le client prend rdv sur le site . Enqu  te de satisfaction vu /DAE NA/Non   ligible au DAE\"
"296148212","","DMS","/DMS/#PTO_non existante#/Pose jtr au pm installation de 120m c cble on aerean et traverse sour poteau metal et pto Delc ok/DAE OK/","","\"
"223440238","","DMS","/DMS/#PTO_non existante#/Racc Aero sout Ok 2 poteau Tout est ok 80m Pto compteur/DAE KO/-20 pto","","\\$GM$ CP  laisse  mevo  au 0643316749  le  14/04 a 18h30 pour reprendre nouveau RDV des TVC fini / $APAF$  Fourreau couder et endommager suite au beton qui a ete coulee    proprietaire va faire le necessaire \$GM$Rv\Obtenu clt au0643316749  le 22/04 repris rdv le 28/04 a  partir 10h00 $APEP$\"
"298196042","","","","",""
"298934741","","","","",""
"223513874","","DMS","Installation conforme passage de cables en souterrain passant par un regard tout est fonctionnel chez le client","","\"
"298935709","","","","",""
"299160686","","","","",""
"223447770","","TVC","Obtenu client au 0000000 le 10/05 a 18:12  elle informe qu elle va pas faire les TVC $APHB$","","\\$GM$ CP /GEM/#LITIGE: CP-Travaux sur conduite privative#/Manque de gaine de l'arrivee principale jusqu'a l'emplacement pr  vu pour la PTO. Le client doit poser de gaine ou de goulotte pour passage de c cble. Un percement sur la fa  ade. /DAE NA/Non   ligible au DAE\\"
"297663572","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/D  changer J870984 Pb 005152 tube bleu fibre jaune Pm 1497 porte g #14 G01 porte d #08A10/DAE OK/","","\"
"297784771","","","","",""
"298930577","","","","",""
"298250944","","DMS","/DMS/#PTO_non existante#/Poser c cble aerien Delc ok/DAE OK/","","\\$gm$ lo Rendez vous repris avec le client pour vendredi prochain a partir de 13h\"
"299282334","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"297784772","","","","",""
"297584255","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok les info so t bonnes/DAE OK/","","\"
"296868465","","DMS","/DMS/#PTO_non existante#/Pto installer dans salon avec signal conforme /DAE OK/","","\\$GM$ clt obtenu par le technicien   rdv repris pour le 25/05  a partir de 10h \"
"296944265","","ANN","/ANN-CLI/Le client a annule l installation via le chat client","","\\"
"298745633","","DMS","/DMS/#PTO_non existante#/Intervention termine prise installer dans le salon a la demande du client passage de cable 100m en aerien /DAE OK/","","\"
"299201606","","DMS","/DMS/#PTO_non existante#/Passage de c cbles de souterrain 60 m PTO pose dans le salon de client tests ok PB 000843 tube rouge fibre violet num ro d charge J872838/DAE OK/","","\"
"298074856","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Reprise pto pose jrt au pm delc ok mise en pt1689 tube violet fibre rouge nd d charge J850969/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"298250946","","DMS","/DMS/#PTO_non existante#/DAE OK/ Technicien issam intervention aerienne CLEINT ok ont ok","","\\$GM$ CP  laisse  mevo  au 0658417582 le  19/04 a 10h55 pour reprendre nouveau RDV des TVC fini / $APAF$    /GEM/#LITIGE: CP-Travaux sur conduite privative#/Le client vas poser une gaine et rappellera pour reprendre rendez-vous /DAE NA/Non eligible au DAE\$GM$ Obtenu clt le 24/04 au 0658417582 repris rdv le 26/04 a partir de 14h $APIL$\Manque de temps \"
"299001399","","","","",""
"297899416","","DMS","/DMS/#PTO_non existante#/Raccordement aerien. OK box. OK. R.A.S./DAE OK/","","\\$GM$  Obtenu cliente le 14/04 au   0608252521. Le client a bien compris les travaux a realiser et nous recontactera pour reprendre rdv des travaux finis.$APSP$  Travaux sur le regard bien cachee  point blocage localise  le client doit trouver la trappe intermediaire \$GM$ Suite appel orange le 3/05  RDV pris le 10/05 entre 10 et 14h $APMJ$ \"
"296130870","","DMS","/DMS/#PTO_non existante#/Pavillon aerien 1fo 3 porte 100m/DAE OK/","","\"
"299193372","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Route optique ok positions ok delc ok passage de jarretiere a la pm./DAE OK/","","\"
"299201843","","","","",""
"297781105","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cheminement#-/Tout Ok Tout fonctionne chez le client .../DAE OK/","","\"
"299143792","","","","",""
"298037206","","TVC","Apres plusieurs relances pas de retour client doit recontacter son OPT $APJC$ $GM$ CP Laisse mevo pour reprendre nouveau RDV des TVC fini $APAB$ /GEM//Le client vas poser une gaine et rappellera pour reprendre rendez-vous /DAE NA/Non el","","\\$GM$ CP Laisse mevo pour reprendre nouveau RDV des TVC fini $APAB$  /GEM/#LITIGE: CP-Travaux sur conduite privative#/Le client vas poser une gaine et rappellera pour reprendre rendez-vous /DAE NA/Non eligible au DAE\\"
"223282930","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp conforme mutation au PM effectu Box fonctionnel Decharge J824126/DAE OK/","","\\/GEM/#LITIGE: AB-Client absent#/Rendez vous repris avec la cliente pour samedi 6 mai a partir de 8h. Dossier a remettre sur mon planning (Aurelien)./DAE NA/Non   ligible au DAE\"
"223513879","","DMS","Plp conforme tout est fonctionnel chez le client","","\"
"297897642","","ORT","/ORT//Idir nok. Absence totale de GC car le client n a pas d Adsl avant Ca orange injoignable pour une decharge /DAE NA/Non ligible au DAE","","\\"
"298743587","","DMS","/DMS/#PTO_non existante#/Racc aerien ok Pto salon 3 poteaux Tout est ok/DAE OK/","","\"
"229004143","","DMS","/DMS/#PTO_non existante#/Passer la jartierre au pm Poser 80m 1fo avec pto /DAE OK/","","\\/GEM/#LITIGE: DR-Probleme de Regard#/Regard clie't enterre  Client vas faire le n  cessaire et rappelleras CA /DAE NA/Non   ligible au DAE\$GM$ RV Obtenu client le 25/04 a 12h28 sur le 0681469851. Rdv repris pour le 28/04 a partir de 14h. $APSP$\$GM$ RV Obtenu Client le 28/04 repris RDV le  05/05  a 14h00 a ne pas louper deja 3eme rdv  / $APSM$* /GEM/#LITIGE: DR-Probleme de Regard#/Regard client enterre  Client vas faire le necessaire et rappelleras CA /DAE NA/Non   ligible au DAE  Manque de temps \"
"297248576","","DMS","/DMS/#PTO_non existante#/Raccordement aerien  deux cents metres. OK box OK. R.A.S./DAE OK/","","\\$GM$ CP Laisse mevo le 26/04  pour reprendre nouveau RDV des TVC fini  $APSM$  Blocage sur l'ancien gaine  le client doit nettoyer et repare les gaines a l'interieur \$GM$ lo 03/05 10H49 Suite au rappel de mr GASTINE 0686112406 rdv repris 11/05 matin <10h et 14h> $apib$\"
"223087864","","DMS","/DMS/#PTO_non existante#/Passage du c cble en aerien 200 metres puis Passage de c cbles dans le salon a la demande du client Mutation pb pt999953 tube rouge fibre jaune Pm/ t2/e10 D charge : A663939/DAE OK/","","\\$GM$ AB Un rdv a ete repris par le technicien pour le 09/05 a10h00  $APSM$  Client absent contacte ils pas s r place pour sa rdv\$GM$ RV /GEM/#LITIGE: MC-Besoin binome ou materiel#/Installation FTTH non ok/ pas assez de c cble pour installer la fibre rendez vous reprise avec le client Pour jeudi a 13h00 /DAE NA/Non   ligible au DAE\"
"298250793","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/$XXXXXX@XXX.XX$ Plp tous fonctionne chez le client /DAE OK/","","\"
"296331438","","","","",""
"296940346","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/D charge: J801323 Brassage pm test ok/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"296311065","","","","",""
"299778368","","","","",""
"297084822","","DMS","/DMS/#PTO_non existante#/Tout Ok Installation En Aerien Ok /DAE OK/","","\"
"299558376","","TVC","Obtenu client au 0683119498 le 10/05 a 10:05  il informe qu il ne va pas faire les TVC $APHB$","","\\$GM$ CP Laisse mevo pour reprendre nouveau RDV des TVC fini $APAB$  Le client passer une gene de nouveau grenier vers pto\\"
"297581343","","DMS","/DMS/#PTO_non existante#/DAE KO/Tech presen. Pto presente racc non conforme. Prod en aerien 105m ok. Pto tableau vu avec client. Tout est fonctionnel","","\\$GM$ Un rdv a ete repris par le technicien pour le 14/04 a partir de 14h00 $APSP$  Le RDV a repris le Vendredi de semaine prochaine(a partir de 14h00   Le14/04) par le client car comme sa sera dispo et aussi c'est obligee de bloque la rue pour le faire ...Pour arriver sur site reseau il buggue ...\$GM$ client absent jusq'au 02/05  rdv repris pour le 02/05 a partir de 14h00 AM\"
"296270722","","DMS","/DMS/#PTO_non existante#/Installation complete ok construction de prise pto passage du cable en aerien tout fonctionne bien /DAE OK/","","\"
"297891623","","TVC","$GM$ CP Laisse mevo le 12/04 pour reprendre nouveau RDV des TVC fini $APSM$ /GEM//Besoin autorisation de syndict/DAE NA/Non eligible au DAE","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ INTERVENTION EN COURS \$GM$ CP Laisse mevo le 12/04  pour reprendre nouveau RDV des TVC fini  $APSM$  /GEM/#LITIGE: RA-Refus passage en apparent dans les parties communes#/Besoin autorisation de syndict/DAE NA/Non eligible au DAE\\"
