"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CODE RELEVE","COMMENTAIRE","BLOC NOTE","COMMLITIGEPIDI"
"IQLFTH","223447513","22805117","","DMS","/DMS/#PTO_non existante#/Pto installee dans le salon Tout est ok Enqu te satisfaction vu /DAE OK/","","\\$GM$ CP Laisse mevo le 03/05 pour reprendre nouveau RDV des TVC fini  $APSM$  /GEM/#LITIGE: IC-Installation inaccessible cause client#/Il n'y a oas dacces pm. Le client vas recuperer les clefs et me recontact une foisbles clefs recuperes./DAE NA/Non eligible au DAE\"
"IQPFTH","298371270","22805122","","DMS","/DMS/#PTO_non existante#/Poser 150 metre de c cble en souterrain tout est ok chez le client /DAE OK/","","\$GM$ Obtenu client au 0687926805  le 5/05 pris RDV le 8/05 entre 10 et 14h $APMJ$\"
"IQPFTH","297584121","22805124","","DMS","/DMS/#PTO_non existante#/Farid ok 1fo  100m  AEROSOUTERRAIN  PTO posee dans le salon a la demande de client val pm-18 val pto-20 cqe ok /DAE OK/","","\"
"IQPFTH","299202504","22805129","","DMS","/DMS/#PTO_non existante#/Livrer une pto dms delc ok crioc ok 1 porte aerien /DAE OK/","","\"
"IQCFTH","296143191","22805131","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cheminement#-/Tout les services sont ok prise refaite car fibre casser dedans /DAE OK/","","\\$GM$ LO a reprendre Obtenu clt le 06/05  a   rdv repris pour le 10/05  a partir de 10h $APle$ \"
"IQPFTH","299008147","22805144","","DMS","/DMS/#PTO_non existante#/Installation pavillon complete ok Passage de c cble souterrain ok /DAE OK/","","\"
"IQCFTH","299213165","22805147","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Route optique ok positions ok delc ok passage de jarretiere a la pm /DAE OK/","","\"
"IQLFTH","299783354","22805158","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok D charge mutation j756750/DAE OK/","","\"
"IQPFTH","297318032","22738032","","TVC","$GM$ Laisse mevo au 0688879149le 12/4 a pour reprendre nouveau RDV des TVC fini / $APSP$ /GEM//Regard introuvable et le passage du c cble a l exterieur en a rien besoin d une nacelle /DAE NA/Non ligible au DAE","","\\$GM$ Laisse mevo au  0688879149le 12/4  a pour reprendre nouveau RDV des TVC fini / $APSP$ /GEM/#LITIGE: DR-Probleme de Regard#/Regard introuvable et le passage du c cble a l'exterieur en a  rien besoin d'une nacelle /DAE NA/Non   ligible au DAE\\"
"IQCFTH","299282796","22805167","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/Plp. Internet ok /DAE OK/","","\\\"
"IQPFTH","297935883","22805217","","DMS","/DMS/#PTO_non existante#/Installation complete ok Pto pose ok /DAE OK/","","\"
"IQPFTH","298372241","22805219","","DMS","/DMS/#PTO_non existante#/Poser 150 metres de c cble en souterrain tout est ok chez le client /DAE OK/","","\$GM$ Obtenu cliente au 0674580863 le 05/05 16h50 pris RDV le 8/05 $APMJ$\"
"IQCFTH","298254162","22805241","","DMS","Passage jarretiere pm /DMS/#PTO_existante#-#Malfa on PLP non detect e#-/DAE OK/","","\"
"IQLFTH","299778479","22805246","","DMS","/DMS/#PTO_non existante#/DAE OK/ Mutation J765817","","\"
"IQPFTH","223447576","22738120","","TVC","$GM$ CP Laisse mevo pour reprendre nouveau RDV des TVC fini $APAB$ Absence de gaine du pb jusqu a ches le clien pose de gaine oblige","","\\$GM$ CP Laisse mevo pour reprendre nouveau RDV des TVC fini $APAB$  Absence de gaine du pb jusqu'a ches le clien pose de gaine oblige \\"
"IQCFTH","299184489","22805257","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cable non conforme#-/Pose jrt au pm delc ok /DAE KO/Bug de test","","\\$GM$ TH /GEM/#LITIGE: MC-Besoin nacelle#/DAE NA/Non eligible au DAE La cliente a fait faire des travaux et sa a endommage le cables il faut refaire toute l'installation et sa passe en aerien\"
"IQSFTH","296148695","22805279","","DMS","/DMS/#PTO_non existante#/Pavillon aero plus souterrain pose pto ont test OK installation conforme mutation avec la stgp sur pb 342 tube rouge fibre violette porte droite t04f10 decharge a662041/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\Pas de possibilite de passer les cables clients il va faire les travaux planifier un rendez-vous avec les clients pour mercredi 10 a 8h \"
"IQPFTH","223443042","22805291","","DMS","/DMS/#PTO_non existante#/Pav Aero 150m delc ok /DAE OK/","","\"
"IQPFTH","297311085","22738188","","DMS","/DMS/#PTO_non existante#/Mohand ok raccordement pavillon en aerien ok pto pose au salon a la demande du client val pm-17 Val pto-18 delck ok /DAE OK/","","\\ $GM$ TH Un rdv a ete repris par le technicien pour le 18/04  a 14H $APAF$  rdv reprit pour le 18.04 Besoin de traverse et de nacelle\ $GM$ TH Un rdv a ete repris par le technicien pour le 21/04  a 14H $APAF$  rdv reprit pour le 21.04 Besoin de traverse et de nacelle\ $GM$ TH Un rdv a ete repris par le technicien pour le 28/04  a 8H $APSP$  rdv reprit pour le 28.04 Besoin de traverse et de nacelle\"
"IQPFTH","229005945","22805329","","DMS","/DMS/#PTO_non existante#/Pose jrt au pm pose c cble 1 fo en souterrain pose pto delc ok /DAE OK/","","\$GM$ LO Obtenu clt le 04/05 au  0676499444  repris rdv le 09/05 a partir de 14h $APIL$\"
"IQPFTH","297136312","22536830","","DMS","/DMS/#PTO_non existante#/Raccordement pavillon ok. Passage de c cble en aerien 80m de cable. Pto installer dans le salon a la demande du client. Valeur PM-18 Valeur PTO-19. Test delce ok . Ras/DAE OK/","","\"
"IQPFTH","297584202","22805350","","DMS","/DMS/#PTO_non existante#/Raccordement complet effectue en a rien le client a la prise optique o il le souhaite rien signaler tout est OK pm-18 pto-19 /DAE OK/","","\"
"IQCFTH","297673869","22805354","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/D  changer J870383 Pb 005152 tube bleu fibre violet Pm 1497 porte d#1D07 porte g#8A11/DAE OK/","","\"
"IQSFTH","297663394","22738229","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\ suite rappel client ce jour le 11/04 a 09h56 prise de rdv le 02/05 en marge nulle a 08h  car client doit partir a 09h de son domicile\$GM$ Obtenu clt le 27/04 au 0676569319  repris rdv le 09/05 a partir de 08h $APIL$\"
"IQCFTH","296240897","22805388","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/Pto existante brassage au pm ok porte gauche slot 2 H03 tout est ok chez le client /DAE OK/","","\"
"IQCFTH","296143907","22805403","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Passage jarretiere au pm /DAE OK/","","\"
"IQCFTH","299213926","22805404","","DMS","/DMS/#PTO_non existante#/Pose jrt a la pm+ test ok /DAE OK/","","\"
"IQPFTH","299202984","22805419","","ANN","/ANN-CLI//ANN//Conjointe dec d e  succession maison aux enfants  le conjoint n est plus dans la maison et souhaite annuler cet abonnement /DAE NA/Non ligible au DAE","","\\"
"IQPFTH","297584205","22805427","","DMS","/DMS/#PTO_non existante#/Installation airien pto pose dans tableau electrique a la demande du client /DAE OK/","","\"
"IQSFTH","223440473","22738303","","DMS","Installation conforme passage de cables en apparent tout est fonctionnel chez le client","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","298096228","22805451","","DMS","/DMS/#PTO_non existante#/Passage du c cble en aerosiuterrain ok 500 metre pto pose a la demande du client ok /DAE OK/","","\\$GM$ RDV REPRIS AVEC  MR LE 08/05 ENTRE 8H ET 11H\$GM$ INTERVENTION EN COURS \$GM$ A RAPPELER POUR UN RDV \$GM$ LO obtenu client le 09/05 a 08h13 rdv repris pour le 11/05 entre 10h et 14h $APCG$\$GM$ INTERVENTION EN COURS \"
"IQSFTH","297616595","22805453","","DMS","/DMS/#PTO_non existante#/Raccordement pavillon ok. Passage du c cble en apparent .50 metres du c cble. PTO installee dans le salon a la demande du client. Valeur PTO-19 valeur PM-18. Test delec FTTH Ok. Num ro de la d charge MF : J870795/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","296882179","22805454","","DMS","/DMS/#PTO_non existante#/Installation complete ok construction de prise pto passage du c cble en aerien tout fonctionne bien pm conforme aucune jartiere a z ro probl me sur la v rification /DAE OK/","","\"
"IQLFTH","296418576","22805458","","DMS","/DMS/#PTO_non existante#/Raco effectue en appartement 30 metre de c cble utiliser pto placer dans le salon tout est ok chez le client /DAE OK/","","\"
"IQPFTH","223226071","22805471","","DMS","/DMS/#PTO_non existante#/Installation realis en fa ade 200m de c cble pto dans le bureau a la demande de client /DAE OK/","","\"
"IQPFTH","298476381","22805482","","DMS","/DMS/#PTO_non existante#/1 fo passe sur 60m a rien tout ok chez client $XXXXXX@XXX.XX$/DAE OK/","","\\\"
"IQSFTH","223447898","22805489","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PLP OK acquittement client ok teste CRIOC OK mutation faite PB 748 tube bleu fibre bleu d charge EMUT_SFOR_20230504122325_0 /DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","296310643","22805493","","","","",""
"IQSFTH","299778489","22805501","","","","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.",""
"IQPFTH","296947038","22805515","","DMS","/DMS/#PTO_non existante#/passage c cble en souterrain pose prise pto brassage pm test ok /DAE OK/","","\\$GM$ clt obtenu pour pour reprise de rdv le 10/05 a partir de 10h \"
"IQCFTH","229005630","22805535","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Branchement a la pm tout ok chez client $XXXXXX@XXX.XX$/DAE OK/","","\"
"IQPFTH","297891586","22805538","","DMS","/DMS/#PTO_non existante#/Tout Ok Installation en Aerien OK/DAE OK/","","\"
"IQPFTH","296331568","22738412","","TVC","clte souhaite annule son rdv car elle a pas encore realise ses travaux et elle souhaite reprendre un nouveau rdv avec Orange","","\\$GM$ CP Laisse mevo le 13/04  pour reprendre nouveau RDV des TVC fini  $APSM$ /GEM/#LITIGE: EP-Elagage en domaine privatif#/echec client: besoin   lagage ( voir photo ci joint)/DAE NA/Non   ligible au DAE\\"
"IQPFTH","299208724","22805548","","DMS","/DMS/#PTO_non existante#/Pose jrt a la pm+pose de 90 m de fibre pose pto+test ok /DAE OK/","","\"
"IQSFTH","298074950","22805552","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PB 5495 tube rouge fibre violet Position PM droite Slot 3 C/05 Num ro d charge :J800160/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\Envoye SMS au client pour reprendre rdv sans retour de sa part\$GM$ Obtenu clt le 02/05 au 0631349613 repris rdv le 04/05 a partir de 14h $APIL$\"
"IQPFTH","223251264","22805574","","ORT","/ORT//Plus de 300 m pour arriver au premier PB pas de poteaux vu avec gtc Numero de decharge FH089LK Voir photo sur praxedo/DAE NA/Non ligible au DAE","","\\"
"IQPFTH","299008264","22805580","","ORT","/ORT//Gc bouchee entre le regard du client et le pbo/DAE NA/Non ligible au DAE","","\\"
"IQPFTH","229005948","22805586","","DMS","/DMS/#PTO_non existante#/$XXXXXX@XXX.XX$ Poser 50m 1fo. Delc ok/DAE OK/","","\"
"IQPFTH","298075924","22805587","","DMS","/DMS/#PTO_non existante#/Pose kit 50 souterrain /DAE OK/","","\\$GM$ LO Rendez vous repris avec le client pour le vendredi 26 mai a partir de 8h00 a prioriser car le client se deplace expres pour l installation \"
"IQPFTH","299659758","22671355","","TVC","$GM$ CP /GEM/--/Bloquage cheminement pto pbo  les. Lient sont d accord pour faire les travaux poir creer une tranch e pour le passage de c cble /DAE NA/Non ligible au DAE","","\\$GM$ CP /GEM/#LITIGE: LP-Localisation Point de Blocage#-#LITIGE: CP-Travaux sur conduite privative#-/Bloquage cheminement pto pbo  les. Lient sont d'accord pour faire les travaux poir creer une tranch  e pour le passage de c cble /DAE NA/Non   ligible au DAE\\"
"IQCFTH","297814882","22738490","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Pto existante Brassage au niveau du pm Ont ok/DAE OK/","","\"
"IQSFTH","298077712","22805626","","DMS","/DMS/#PTO_non existante#/Pose kit 30 Pt11248 Tube bleu fibre bleu Fi 2023-4183 T2/C08 T te F05 Decharge J819864 Pm 1 allee kerangedun /DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ Le tech a repris rdv avec le client pour le 05/05 a partir de 08H $APAF$  Rendez vous repris avec le client pour le vendredi 5 mai a partir de 8h00 Aucune PTO chez le client    Installation en immeuble complexe  besoin binome pour passer le cable  \"
"IQPFTH","299208728","22805629","","DMS","/DMS/#PTO_non existante#/Passage de c ? cble aerien sur 60m. PTO pos ? dans le salon a la demande du client. Tout est ok. Voisins cass ? avant l c ? ?intervention ? 14h30  vu avec Sam de la STGP. /DAE KO/Vu avec Sam de la STGP","","\"
"IQPFTH","298472689","22738502","","ORT","/ORT//Pas de gc entre client et pb. C cble ADSL en cpt. ?tude a faire /DAE NA/Non eligible au DAE","","\\$GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$  Le client va passer une nouvelle gaine de son arrive Telecom la ou il veux la pto il contactera la ca pour reprendre un nouveau rendez-vous \$GM$ Obtenu clt le 25/04 au 0670124087 repris rdv le 28/04 a partir de 10h $APIL$\\"
"IQPFTH","223513858","22805634","","DMS","/DMS/#PTO_non existante#/$XXXXXX@XXX.XX$ toure monofibre 80 m seuterain PTO pose au salon teste DLC OK clients mais en service /DAE OK/","","\"
"IQPFTH","299008299","22805638","","DMS","/DMS/#PTO_non existante#/Installation airien pto pose dans Salon tout fonctionne chez le client /DAE OK/","","\"
"IQPFTH","223633075","22805644","","","","",""
"IQLFTH","298254167","22805656","","DMS","/plp complete ND j810318 DMS/#PTO_existante#-#Malfa on PLP non detect e#-/DAE OK/","","\\Suite a une panne dexpon jumpy je n'ai pas pu honorer le rdv. J'ai laisser SMS au client sans retour de sa part. Veuillez le recontacter pour fixer nouveau rdv Merci \"
"IQPFTH","298934530","22738532","","","","",""
"IQPFTH","296310883","22805667","","","","",""
"IQSFTH","298750019","22738547","","ETU","Pb trop loins par rapport le CLEINT il plus de 800 metre a tire du coupe il faute tire pb jusqua a le CLEINT","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ rdv repris avec Mr le 17/04 entre 13h et 17h \$GM$  Obtenu client  au  0679469981a   le 17/04 a   repris RDV le 26/04 de a partir de 14h30 / $APSP$*\\"
"IQSFTH","299193209","22805677","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Changement d op rateur /DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","296415199","22805682","","DMS","/DMS/#PTO_non existante#/Installation complete ok construction de prise pto passage du c cble en aerien tout fonctionne bien /DAE OK/","","\"
"IQPFTH","297086712","22805689","","PAD","/PAD//Adresse donne sa indiqu une maison individuelle alors que le 8 rue de la Motte c est une immeuble de 3 tage et pas de PB dan l immeuble vu avec la GTC num ros d charge FI080MP /DAE NA/Non ligible au DAE","","\"
"IQPFTH","298503731","22805691","","DMS","/DMS/#PTO_non existante#/Pose 80m fo pose pto test ok livebox ok $christelle-romu@orange.fr$/DAE OK/","","\"
"IQPFTH","298190185","22805693","","DMS","/DMS/#PTO_non existante#/DAE OK/ Technicien issam intervention aerienne CLEINT ok ont ok","","\"
"IQPFTH","296879891","22738567","","DMS","/DMS/#PTO_non existante#/Installation complete ok construction de prise pto passage du c cble en aerien tout fonctionne bien installation compl xe 550 m de c cble 15 poteaux /DAE OK/","","\\$GM$ LO a reprendre Laisse MEVO au  13/04  pour reprendre nouveau RDV $APle$  /GEM/#LITIGE: MC-Besoin binome ou materiel#/Pas de traverses /DAE NA/Non   ligible au DAE\$GM$ RV// Obtenu client au 0611995059 le 18/04  a 15:25  RDV repris pour le 26/04 a partir de 14:00 $APHB$\$GM$ AI  Repri rdv pour mardi 3mai vers 8 de matin  10 poteaux manque 5  traverse j'ai pas assez  de matieiel\$GM$ client injoignable msg laisse pour reprise de rdv  AM \$GM$ rdv repris pour le 04/05 a partir de 08h00 AM\$GM$ RV Gem dans l'attente d'une commande pour pouvoir realiser l'intervention traverse etrier semelle equerre boulon tire fond rondelle corps de rehausse\"
"IQPFTH","297085738","22805706","","DMS","/DMS/#PTO_non existante#/Raccordement client OK passage en aerien prise dans le bureau client OK /DAE OK/","","\"
"IQPFTH","296310884","22805709","","","","",""
"IQPFTH","297783427","22805718","","DMS","/DMS/#PTO_non existante#/Idir OK 100m de c cble en aerien Pto pos dans le local technique a la demande du client Valeur Pto -20 Valeur pm -19/DAE OK/","","\"
"IQPFTH","297456023","22805721","","ORT","/ORT//Nouveau lotissement il ya 7 maison pres a cables le pb il pas raccorder au reseaux n decharge fj088gh/DAE NA/Non eligible au DAE","","\\"
"IQSFTH","223448501","22805730","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok/DAE JU/Client connect ","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","299779675","22805746","","DMS","/DMS/#PTO_non existante#/Installation aerien complete complexe ok PTO pos dans le salon a la demande de client /DAE OK/","29/04/2023#ContactClient#","\"
"IQPFTH","297616914","22805760","","DMS","/DMS/#PTO_non existante#/Tout ok chez client passage de c cble en souterrain 120m le client a la prise optique o il le souhaite ras/DAE OK/","","\"
"IQPFTH","223443284","22805762","","DMS","/DMS/#PTO_non existante#/Installation aerienne ok test e ok /DAE OK/","","\"
"IQCFTH","297894965","22805770","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Farid ok  brassage au PM /DAE OK/","","\\$GM$ Un rdv a ete repris par le technicien pour le 11/05 a partir de 13h00 $APSP$  Le RDV repris vers le jeudi a partir de 13h ... \"
"IQLFTH","298637364","22738646","","TVC","Derniere relance  pas de retour. Laisse MEVO le 10/05  le client doit contacter son operateur pour reprise de rdv. $APAA$","","\\$GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$  Pas moines passer le cable car absence de gaine entre local technique et salon client il doit faire le necessaire avec proprietaire pour faire le travaux quand fini ca elle va vous rappeler \$GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$  Pas moines passer le cable car absence de gaine entre local technique et salon client il doit faire le necessaire avec proprietaire pour faire le travaux quand fini ca elle va vous rappeler \\"
"IQPFTH","223081779","22805794","","DMS","/DMS/#PTO_non existante#/Relation complete OK passage de c cble en souterrain mise en service OK/DAE OK/","","\"
"IQPFTH","297451894","22805795","","DMS","/DMS/#PTO_non existante#/Intervention termine prise install dans le salon a la demande du client passage de c cble 50m en souterrain /DAE OK/","","\"
"IQSFTH","298252684","22805796","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cheminement#-/Reprise pto hs-29 1 fo noir 50m /DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","296311732","22805802","","","","",""
"IQPFTH","297086720","22805804","","DMS","/DMS/#PTO_non existante#/Intervention ok   passage de c cble en fa ade pto au tableau de brassage vu avec le client (Impossible d c inserer dans mobi photos ins rer en pieces jointes ) /DAE OK/","","\"
"IQLFTH","298074718","22805813","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cheminement#-/Reprise pto mise a jour avec GTC nouvelle FI-4349-4000 sur PB 1954 tube rouge fibre vert avec porte droite t te 2 b/9 nd d charge J802264 delc ok /DAE OK/","","\"
"IQLFTH","299208969","22805847","","TVC","$GM$ Obtenue cliente que nous informe que ne va rien faire $APAF$ /GEM/--/La cliente va voir avec son fils la meilleure solution pour le passage de la fibre /DAE NA/Non eligible au DAE","","\\"
"IQPFTH","298252485","22805881","","DMS","/DMS/#PTO_non existante#/Passer la jartierre au pm Poser 30m 1fo avec pto /DAE OK/","","\"
"IQPFTH","223076839","22738766","","TVC","obtenu la cliente au 0624502440  elle demande d annuler le RDV car elle n a pas encore fait les TVC et elle dit qu elle ne sait pas quand est ce que ca va etre fait. elle contact l OPT pour reprendre RDV $APHB$","","\\$GM$ CP  laisse  mevo  au 06  le  07/04 a 18h30 pour reprendre nouveau RDV des TVC fini / $APAF$   /GEM/#LITIGE: RA-Refus passage en apparent dans les parties communes#/Pas de passage de c ? cble.  La cliente compte faire poser une gaine mais attends l c ? ?accord de son proprietaire. /DAE NA/Non  ?  ligible au DAE\$GM$ Obtenu Mme Dens au 0624502440 le 25/04 a 11h31   repris RDV le 28/04 entre 14h   18h / $APTE$\\"
"IQSFTH","299144405","22805899","","DMS","Plp conforme tout est fonctionnel chez le client","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","299202893","22805909","","DMS","/DMS/#PTO_non existante#/Passage de c ? cble aerien sur 70m. PTO pos ? dans le salon a la demande du client. Tout est ok. /DAE OK/","","\"
"IQLFTH","223302687","22805929","","DMS","/DMS/#PTO_non existante#/Installation complete ok passage de c cble en gaine technique mise en service ok /DAE KO/Lien optique ok box client non allume","","\\$GM$ AB /GEM/#LITIGE: AB-Client absent#/Pas de reponse a l'appel /DAE NA/Non   ligible au DAE\$GM$ suite rappel  client ce jour le 09/05 a 10h36 prise de rdv le 11/05 en marge matin a partir de 10h \"
"IQSFTH","296942852","22805930","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/Reprise plp. Mutation pb en 000741 porte droite slot01 H07 tube orange fibre rouge J857983/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ LO Client voulez raporte le rdv. Rdv reprise le 10 Mai a 14h30\"
"IQPFTH","299142585","22805949","","DMS","/DMS/#PTO_non existante#/Aerien 150m 2 poteaux Facade client Delc ok /DAE OK/","","\"
"IQPFTH","299202894","22805958","","DMS","/DMS/#PTO_non existante#/Tirage de 60 metre de fibre pose PTO brassage PM /DAE OK/","","\"
"IQPFTH","299565723","22805960","","ORT","Dommage reseau 4049824 Decharge fl073kg/ORT//Cable feseau fibre couper entre 2 poteau Num ro de decharge FL073KG Dommage r seau effectu num ro 4049824/DAE NA/Non ligible au DAE","","\\"
"IQPFTH","299001299","22805962","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon ok/DAE OK/","","\"
"IQPFTH","298970692","22671704","","TVC","RELANCE // Obtenu clt le 27/04  TVC toujours pas faits et na a pas de date prevue  devra recontacter son opt $APIL$ $GM$ Laisse mevo au 0668341875 le 12/4 a pour reprendre nouveau RDV des TVC fini / $APSP$ /GEM//Cliente voit pour aiguil","","\\$GM$ Obtenu cliente le 29/03 au xxx . Le client a besoin de plus d'infos concernant les travaux a realiser et nous recontactera pour reprendre rdv des travaux finis.$APSP$ /GEM/#LITIGE: LP-Localisation Point de Blocage#-#LITIGE: CP-Travaux sur conduite privative#-#LITIGE: CP-Travaux sur conduite privative#-/150 m du ga\$GM$ suite rappel client ce jour le 04/04 a 11h09 prise de rdv le 12/04 en marge apres-midi a partir de 14h30 \\$GM$ Laisse mevo au 0668341875 le 12/4  a pour reprendre nouveau RDV des TVC fini / $APSP$ /GEM/#LITIGE: CP-Travaux sur conduite privative#/Cliente voit pour aiguiller sa gaine privee environ 180 metres (compresseur) cliente rappelle apr  s travaux effectu    $aurelielebihan@orange.fr$/DAE NA/Non   ligible au DAE\\"
"IQPFTH","298151043","22805963","","","","",""
"IQPFTH","296311975","22805980","","","","",""
"IQCFTH","223308969","22805983","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp immeubles delc ok branchement de la jarretiere au pm installation conforme /DAE OK/","","\"
"IQSFTH","298070561","22805991","","","","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.",""
"IQPFTH","299175639","22805993","","DMS","/DMS/#PTO_non existante#/Pose JRT PM + pose 60m de cable 1 FO + pose PTO + delc OK /DAE OK/","","\"
"IQPFTH","299206445","22805994","","DMS","/DMS/#PTO_non existante#/Passage de c cble souterrain fa ade 100m tire Test ok/DAE OK/","","\"
"IQLFTH","223288563","22806018","","DMS","/DMS/#PTO_non existante#/J816534 J817468 Fibre bleu utilise  Fibre blanche dispo dans l onglet reprise Pto mais non utilis e  photo en pj pour preuve. Tout est ok Enqu te satisfaction vu /DAE OK/","","\\/GEM/#LITIGE: IC-Installation inaccessible cause client#/Client eu au tel  phone  rdv repris pour le Vendredi 05/05 a 13h. Pr  voir 3h d'installation ainsi qu'une couronne./DAE NA/Non   ligible au DAE\"
"IQPFTH","299745417","22806029","","","","",""
"IQPFTH","299745437","22806038","","TVC","/TVC/#Le client a des travaux a faire mais ne souhaite pas les realiser#---#LITIGE: CP-Travaux sur -/Client ne souhaite pas realiser le travaux Refuse de pose une gain pour passe la fibre /DAE NA/Non eligible","","\\"
